iter	Passed	Remaining
866	16703	41095
867	16722	41074
868	16741	41053
869	16760	41034
870	16780	41017
871	16799	40997
872	16819	40978
873	16838	40960
874	16859	40943
875	16876	40919
876	16897	40903
877	16916	40883
878	16936	40868
879	16956	40850
880	16975	40829
881	16995	40812
882	17015	40794
883	17033	40772
884	17052	40751
885	17070	40730
886	17090	40712
887	17110	40695
888	17129	40674
889	17153	40667
890	17173	40649
891	17192	40630
892	17211	40610
893	17230	40590
894	17248	40568
895	17267	40548
896	17287	40529
897	17305	40509
898	17324	40487
899	17343	40468
900	17362	40448
901	17382	40430
902	17403	40414
903	17421	40393
904	17439	40371
905	17459	40352
906	17479	40335
907	17497	40312
908	17515	40290
909	17532	40267
910	17551	40246
911	17571	40229
912	17593	40215
913	17613	40199
914	17633	40181
915	17654	40165
916	17671	40141
917	17691	40124
918	17711	40107
919	17732	40091
920	17752	40073
921	17771	40052
922	17790	40033
923	17807	40009
924	17825	39988
925	17845	39968
926	17863	39946
927	17880	39923
928	17897	39899
929	17915	39876
930	17932	39853
931	17949	39828
932	17967	39806
933	17985	39783
934	18005	39766
935	18025	39747
936	18042	39724
937	18060	39702
938	18079	39683
939	18101	39668
940	18120	39649
941	18141	39633
942	18161	39615
943	18180	39595
944	18198	39574
945	18217	39555
946	18237	39538
947	18255	39515
948	18274	39494
949	18293	39475
950	18312	39454
951	18331	39434
952	18350	39415
953	18366	39390
954	18384	39368
955	18404	39349
956	18421	39326
957	18439	39304
958	18457	39281
959	18474	39257
960	18491	39233
961	18508	39209
962	18527	39189
963	18547	39173
964	18568	39157
965	18587	39138
966	18606	39117
967	18624	39096
968	18643	39076
969	18662	39056
970	18680	39033
971	18698	39012
972	18716	38990
973	18733	38966
974	18750	38943
975	18768	38921
976	18785	38897
977	18804	38877
978	18820	38851
979	18837	38829
980	18858	38813
981	18875	38789
982	18893	38767
983	18912	38747
984	18930	38725
985	18949	38706
986	18968	38686
987	18986	38664
988	19004	38643
989	19023	38622
990	19042	38604
991	19060	38582
992	19081	38565
993	19099	38545
994	19117	38522
995	19135	38500
996	19152	38478
997	19170	38456
998	19189	38436
999	19208	38416
1000	19227	38398
1001	19245	38374
1002	19267	38362
1003	19285	38340
1004	19304	38320
1005	19323	38300
1006	19342	38281
1007	19360	38260
1008	19379	38240
1009	19397	38219
1010	19416	38198
1011	19433	38175
1012	19451	38154
1013	19469	38133
1014	19487	38110
1015	19508	38095
1016	19526	38072
1017	19545	38053
1018	19562	38030
1019	19579	38007
1020	19597	37985
1021	19615	37964
1022	19633	37943
1023	19654	37926
1024	19673	37907
1025	19690	37884
1026	19710	37866
1027	19729	37847
1028	19749	37829
1029	19768	37810
1030	19786	37787
1031	19804	37767
1032	19823	37747
1033	19840	37723
1034	19858	37703
1035	19877	37682
1036	19895	37661
1037	19915	37644
1038	19934	37623
1039	19950	37599
1040	19970	37581
1041	19988	37560
1042	20006	37538
1043	20024	37516
1044	20042	37496
1045	20060	37474
1046	20078	37452
1047	20096	37432
1048	20115	37412
1049	20135	37394
1050	20154	37375
1051	20173	37355
1052	20193	37337
1053	20212	37318
1054	20232	37300
1055	20249	37278
1056	20269	37259
1057	20286	37235
1058	20304	37214
1059	20321	37192
1060	20340	37171
1061	20360	37154
1062	20378	37134
1063	20396	37112
1064	20416	37094
1065	20435	37075
1066	20453	37054
1067	20471	37033
1068	20492	37016
1069	20511	36997
1070	20530	36978
1071	20552	36963
1072	20570	36941
1073	20587	36919
1074	20605	36898
1075	20625	36880
1076	20644	36860
1077	20663	36841
1078	20681	36820
1079	20700	36800
1080	20720	36783
1081	20741	36766
1082	20761	36749
1083	20782	36734
1084	20802	36715
1085	20833	36717
1086	20850	36695
1087	20868	36672
1088	20887	36653
1089	20905	36632
1090	20927	36619
1091	20950	36605
1092	20971	36590
1093	20992	36573
1094	21010	36553
1095	21029	36532
1096	21048	36513
1097	21067	36493
1098	21085	36472
1099	21103	36451
1100	21123	36433
1101	21142	36414
1102	21162	36396
1103	21181	36377
1104	21201	36359
1105	21219	36338
1106	21239	36319
1107	21259	36302
1108	21277	36281
1109	21297	36262
1110	21316	36243
1111	21335	36224
1112	21355	36206
1113	21374	36186
1114	21394	36168
1115	21412	36147
1116	21431	36128
1117	21451	36111
1118	21470	36091
1119	21488	36070
1120	21508	36052
1121	21530	36037
1122	21549	36018
1123	21567	35997
1124	21587	35978
1125	21606	35958
1126	21626	35941
1127	21646	35923
1128	21664	35902
1129	21684	35884
1130	21703	35865
1131	21722	35845
1132	21743	35830
1133	21762	35811
1134	21782	35791
1135	21802	35775
1136	21822	35756
1137	21842	35739
1138	21861	35718
1139	21880	35699
1140	21899	35679
1141	21919	35662
1142	21947	35657
1143	21968	35640
1144	21985	35618
1145	22004	35598
1146	22024	35580
1147	22044	35562
1148	22063	35542
1149	22080	35521
1150	22099	35500
1151	22117	35480
1152	22138	35463
1153	22159	35447
1154	22177	35426
1155	22196	35407
1156	22214	35386
1157	22234	35367
1158	22252	35346
1159	22271	35327
1160	22288	35304
1161	22307	35285
1162	22325	35264
1163	22346	35247
1164	22365	35228
1165	22384	35208
1166	22403	35189
1167	22421	35168
1168	22439	35146
1169	22458	35126
1170	22476	35106
1171	22494	35085
1172	22511	35063
1173	22530	35042
1174	22549	35024
1175	22571	35008
1176	22588	34985
1177	22607	34966
1178	22625	34945
1179	22643	34924
1180	22660	34902
1181	22679	34882
1182	22695	34859
1183	22712	34836
1184	22729	34814
1185	22748	34794
1186	22766	34773
1187	22784	34752
1188	22804	34733
1189	22823	34714
1190	22841	34693
1191	22858	34670
1192	22877	34651
1193	22896	34632
1194	22915	34613
1195	22933	34592
1196	22952	34572
1197	22971	34553
1198	22990	34533
1199	23008	34512
1200	23027	34493
1201	23044	34471
1202	23065	34454
1203	23083	34432
1204	23103	34415
1205	23120	34393
1206	23138	34371
1207	23156	34351
1208	23174	34330
1209	23191	34308
1210	23210	34288
1211	23227	34266
1212	23246	34247
1213	23264	34225
1214	23282	34205
1215	23300	34184
1216	23321	34167
1217	23349	34161
1218	23367	34140
1219	23387	34122
1220	23405	34101
1221	23422	34079
